,URL,Name,Price,Rating,Number_of_reviews,Description,ASIN,Product_information,Manufacturer
,https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B084JGJ8PF/ref=sr_1_1?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-1,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_2?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-2,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
,https://www.amazon.in/American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1697597640&sprefix=ba%2Caps%2C283&sr=8-3,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzA0ODE5OTQ1MTE3NjU1OjE2OTc1OTc2NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA0ODIxMjM2MjczMjo6MDo6&url=%2FGRAND-PITSTOP-NightWing-Mark-1-Compartment-Multifunctional%2Fdp%2FB0BSQZCGXT%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%253Aamzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0BSQZCGXT%26pd_rd_r%3Dfadab868-fcc4-4144-a2b9-c65a76e06446%26pd_rd_w%3DrIm3A%26pd_rd_wg%3DT0w6E%26pf_rd_p%3D19b261f0-461f-4398-95e6-cde5c5c0a4cf%26pf_rd_r%3DYFWV1QMM9VZZ0422253P%26qid%3D1697597640%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-1-688774a5-808e-4ad8-b604-ac589628eb32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzA0ODE5OTQ1MTE3NjU1OjE2OTc1OTc2NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMTUzNjAzOTc1MTk4OjoxOjo&url=%2FWALKENT-Craft-Laptop-Bag-Anti-Theft%2Fdp%2FB0978JT5HR%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%253Aamzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0978JT5HR%26pd_rd_r%3Dfadab868-fcc4-4144-a2b9-c65a76e06446%26pd_rd_w%3DrIm3A%26pd_rd_wg%3DT0w6E%26pf_rd_p%3D19b261f0-461f-4398-95e6-cde5c5c0a4cf%26pf_rd_r%3DYFWV1QMM9VZZ0422253P%26qid%3D1697597640%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-2-688774a5-808e-4ad8-b604-ac589628eb32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzA0ODE5OTQ1MTE3NjU1OjE2OTc1OTc2NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDIyMzA1MzQ2MzA2OjoyOjo&url=%2FCOSMUS-Polyester-Multi-functional-Convertible-15-6-Inch%2Fdp%2FB07D1R1K84%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%253Aamzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB07D1R1K84%26pd_rd_r%3Dfadab868-fcc4-4144-a2b9-c65a76e06446%26pd_rd_w%3DrIm3A%26pd_rd_wg%3DT0w6E%26pf_rd_p%3D19b261f0-461f-4398-95e6-cde5c5c0a4cf%26pf_rd_r%3DYFWV1QMM9VZZ0422253P%26qid%3D1697597640%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-3-688774a5-808e-4ad8-b604-ac589628eb32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzA0ODE5OTQ1MTE3NjU1OjE2OTc1OTc2NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDY1NTMzNjg0Njk4OjozOjo&url=%2FUppercase-Medium-Size-Backpack-_Blue%2Fdp%2FB0B81YTTWS%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%253Aamzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0B81YTTWS%26pd_rd_r%3Dfadab868-fcc4-4144-a2b9-c65a76e06446%26pd_rd_w%3DrIm3A%26pd_rd_wg%3DT0w6E%26pf_rd_p%3D19b261f0-461f-4398-95e6-cde5c5c0a4cf%26pf_rd_r%3DYFWV1QMM9VZZ0422253P%26qid%3D1697597640%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-4-688774a5-808e-4ad8-b604-ac589628eb32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
,https://www.amazon.in/sspa/click?ie=UTF8&spc=MTo1MzA0ODE5OTQ1MTE3NjU1OjE2OTc1OTc2NDA6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDYzNzg0NDU4Mzk4Ojo0Ojo&url=%2Fuppercase-Backpack-2300EBP1-repellent-sustainable%2Fdp%2FB0B69M182Q%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%253Aamzn1.sym.19b261f0-461f-4398-95e6-cde5c5c0a4cf%26crid%3D2M096C61O4MLT%26cv_ct_cx%3Dbags%26keywords%3Dbags%26pd_rd_i%3DB0B69M182Q%26pd_rd_r%3Dfadab868-fcc4-4144-a2b9-c65a76e06446%26pd_rd_w%3DrIm3A%26pd_rd_wg%3DT0w6E%26pf_rd_p%3D19b261f0-461f-4398-95e6-cde5c5c0a4cf%26pf_rd_r%3DYFWV1QMM9VZZ0422253P%26qid%3D1697597640%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sprefix%3Dba%252Caps%252C283%26sr%3D1-5-688774a5-808e-4ad8-b604-ac589628eb32-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
,https://www.amazon.in/Amazon-Brand-Presto-Oxo-Biodegradable-Garbage/dp/B0821PKWBW/ref=sxin_16_trfobq2av2_0_B0821PKWBW?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0821PKWBW&pd_rd_r=fadab868-fcc4-4144-a2b9-c65a76e06446&pd_rd_w=ypbmp&pd_rd_wg=T0w6E&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=YFWV1QMM9VZZ0422253P&qid=1697597640&sbo=Tc8eqSFhUl4VwMzbE4fw%2Fw%3D%3D&sprefix=ba%2Caps%2C283&sr=1-1-973fd8bd-28ce-479e-8be4-fbaf1193947a,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
,https://www.amazon.in/Amazon-Basics-Laptop-College-Backpack/dp/B0C8NSJ4RD/ref=sxin_16_trfobq2av2_1_B0C8NSJ4RD?content-id=amzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5%3Aamzn1.sym.7abeb195-8e0b-4e74-aede-b7cb234213a5&crid=2M096C61O4MLT&cv_ct_cx=bags&keywords=bags&pd_rd_i=B0C8NSJ4RD&pd_rd_r=fadab868-fcc4-4144-a2b9-c65a76e06446&pd_rd_w=ypbmp&pd_rd_wg=T0w6E&pf_rd_p=7abeb195-8e0b-4e74-aede-b7cb234213a5&pf_rd_r=YFWV1QMM9VZZ0422253P&qid=1697597640&sbo=RZvfv%2F%2FHxDF%2BO5021pAnSA%3D%3D&sprefix=ba%2Caps%2C283&sr=1-2-973fd8bd-28ce-479e-8be4-fbaf1193947a,N/A,N/A,N/A,N/A,N/A,N/A,,N/A
